sample	ancestry
4_ST1DR161DNA	EUR
4_ST1DR177DNA	EUR
4_ST1DR347DNA	EUR
4_ST1DR366	EUR
4_ST1DR384DNA	EUR
4_ST1DR396DNA	EUR
4_ST1DR407DNA	EUR
4_ST1DR417DNA	EUR
4_ST1DR423DNA	EUR
4_ST1DR434DNA	EUR
4_ST1DR446DNA	EUR
4_ST1DR452DNA	EUR
4_ST1DR463DNA	EUR
4_ST1DR465DNA	EUR
4_ST1DR483DNA	EUR
4_ST1DR489DNA	EUR
4_ST1DR504DNA	EUR
4_ST1DR515DNA	EUR
4_ST1DR526DNA	EUR
5_2151-0005	EUR
5_2151-0035	EUR
5_2151-0095	EUR
5_2151-0292	EUR
5_2151-0309	EUR
5_2151-0359	EUR
5_2151-0379	EUR
5_2151-0381	EUR
5_2151-0434	EUR
5_5149	EUR
5_5158	EUR
5_5178	EUR
5_5197	EUR
5_5202	EUR
5_5214	EUR
5_5235	EUR
5_5239	EUR
5_5244	EUR
5_5247	EUR
5_5255	EUR
5_5271	EUR
5_5274	EUR
5_5279	EUR
5_32113-0012	EUR
5_32113-0061	EUR
5_32113-0067	EUR
5_32113-0068	EUR
5_CD39-005	EUR
5_CD39-013	EUR
5_ST1DR077DNA	EUR
5_ST1DR087DNA	EUR
5_ST1DR090DNA	EUR
5_ST1DR104DNA	EUR
5_ST1DR107DNA	EUR
5_ST1DR109DNA	EUR
5_ST1DR127DNA	EUR
5_ST1DR135DNA	EUR
5_ST1DR146DNA	EUR
5_ST1DR147DNA	EUR
5_ST1DR153DNA	EUR
5_ST1DR155DNA	EUR
5_ST1DR171DNA	EUR
5_ST1DR172DNA	EUR
5_ST1DR363	EUR
5_ST1DR376	EUR
5_ST1DR383DNA	EUR
5_ST1DR391DNA	EUR
5_ST1DR401DNA	EUR
5_ST1DR406DNA	EUR
5_ST1DR415DNA	EUR
5_ST1DR425DNA	EUR
5_ST1DR431DNA	EUR
5_ST1DR436DNA	EUR
5_ST1DR449DNA	EUR
5_ST1DR456DNA	EUR
5_ST1DR464DNA	EUR
5_ST1DR484DNA	EUR
5_ST1DR487DNA	EUR
5_ST1DR497DNA	EUR
5_ST1DR505DNA	EUR
5_ST1DR514DNA	EUR
5_ST1DR520DNA	EUR
6_2151-0003	EUR
6_2151-0007	EUR
6_2151-0215	EUR
6_2151-0418	EUR
6_2151-0431	EUR
6_2151-0437	EUR
6_5151	EUR
6_5160	EUR
6_5184	EUR
6_5192	EUR
6_5207	EUR
6_5211	EUR
6_5232	EUR
6_5241	EUR
